Time,Device name,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Temperature(℃)
 13:22:07.266,COM4, 0.000, 0.111, 0.990, -0.427, 0.000, 0.000, 6.411, 0.308, 0.000, 37.19,
 13:22:07.328,COM4, -0.006, 0.114, 0.995, -0.244, 0.000, 0.000, 6.520, 0.000, 0.000, 37.18,
 13:22:07.375,COM4, -0.010, 0.112, 1.000, 0.000, 0.000, 0.000, 6.372, 0.357, 0.000, 37.16,
 13:22:07.422,COM4, -0.002, 0.114, 0.997, -0.610, 0.000, 0.000, 6.509, 0.582, 0.000, 37.15,
 13:22:07.469,COM4, -0.004, 0.113, 0.995, -0.366, 0.183, 0.000, 6.493, 0.137, 0.000, 37.16,
 13:22:07.516,COM4, -0.005, 0.113, 0.990, 0.244, 0.000, 0.000, 6.493, 0.220, 0.000, 37.18,
 13:22:07.578,COM4, -0.004, 0.111, 1.005, -0.305, 0.183, 0.000, 6.476, 0.236, 0.000, 37.19,
 13:22:07.624,COM4, -0.009, 0.111, 0.991, -0.427, 0.244, 0.000, 6.465, 0.242, 0.000, 37.16,
 13:22:07.680,COM4, -0.007, 0.114, 0.988, 0.000, 0.305, 0.000, 6.465, 0.242, 0.000, 37.17,
 13:22:07.727,COM4, -0.007, 0.109, 0.994, -0.366, 0.305, 0.000, 6.449, 0.247, 0.000, 37.18,
 13:22:07.774,COM4, -0.003, 0.108, 0.992, -0.183, 0.183, 0.000, 6.443, 0.253, 0.000, 37.17,
 13:22:08.538,COM4, -0.005, 0.113, 0.993, 0.305, 0.183, 0.000, 6.449, 0.258, 0.000, 37.18,
 13:22:08.585,COM4, -0.008, 0.115, 0.988, -0.427, 0.000, 0.000, 6.619, 0.308, 0.000, 37.18,
 13:22:08.643,COM4, -0.004, 0.109, 0.990, 0.000, 0.000, 0.000, 6.301, 0.445, 0.000, 37.16,
 13:22:08.688,COM4, 0.000, 0.111, 0.990, 0.183, 0.000, 0.000, 6.383, 0.253, 0.000, 37.17,
 13:22:08.746,COM4, -0.006, 0.112, 1.000, -0.488, 0.000, 0.000, 6.400, -0.027, 0.000, 37.18,
 13:22:08.793,COM4, -0.005, 0.118, 0.997, 0.183, -0.183, 0.000, 6.729, 0.330, 0.000, 37.18,
 13:22:08.839,COM4, -0.001, 0.113, 0.991, 0.305, 0.000, 0.000, 6.487, 0.308, 0.000, 37.21,
 13:22:08.895,COM4, -0.007, 0.114, 0.993, -0.305, 0.000, 0.000, 6.537, 0.082, 0.000, 37.17,
 13:22:08.942,COM4, -0.004, 0.112, 0.990, -0.183, 0.000, 0.000, 6.438, 0.390, 0.000, 37.20,
 13:22:08.989,COM4, -0.001, 0.111, 0.989, 0.183, -0.183, 0.000, 6.389, 0.253, 0.000, 37.19,
 13:22:09.035,COM4, 0.000, 0.110, 0.990, -0.183, 0.000, 0.000, 6.361, 0.082, 0.000, 37.19,
 13:22:09.098,COM4, -0.003, 0.112, 0.991, 0.000, 0.000, 0.000, 6.361, 0.088, 0.000, 37.19,
 13:22:09.145,COM4, -0.002, 0.110, 0.998, 0.000, 0.000, 0.000, 6.367, 0.088, 0.000, 37.16,
 13:22:09.192,COM4, -0.004, 0.109, 0.995, -0.366, 0.000, 0.000, 6.350, 0.088, 0.000, 37.20,
 13:22:09.239,COM4, -0.009, 0.112, 0.994, -0.183, 0.244, 0.000, 6.356, 0.099, 0.000, 37.17,
 13:22:09.285,COM4, -0.008, 0.113, 0.990, 0.000, 0.183, 0.000, 6.367, 0.099, 0.000, 37.19,
 13:22:10.121,COM4, -0.004, 0.107, 0.991, -0.488, 0.183, 0.000, 6.339, 0.104, 0.000, 37.19,
 13:22:10.168,COM4, -0.005, 0.113, 0.991, 0.244, -0.244, 0.000, 6.487, 0.247, 0.000, 37.21,
 13:22:10.215,COM4, -0.004, 0.109, 0.987, -0.366, -0.244, 0.000, 6.317, 0.308, 0.000, 37.20,
 13:22:10.261,COM4, -0.007, 0.113, 0.986, 0.000, 0.000, 0.000, 6.520, 0.225, 0.000, 37.19,
 13:22:10.324,COM4, -0.007, 0.112, 0.991, 0.000, 0.000, 0.000, 6.438, 0.390, 0.000, 37.21,
 13:22:10.371,COM4, 0.000, 0.111, 0.988, -0.427, 0.000, 0.000, 6.427, 0.417, 0.000, 37.21,
 13:22:10.418,COM4, -0.005, 0.108, 0.988, -0.183, 0.000, 0.000, 6.229, 0.027, 0.000, 37.20,
 13:22:10.465,COM4, -0.001, 0.107, 0.990, 0.000, 0.000, 0.000, 6.163, 0.308, 0.000, 37.21,
 13:22:10.511,COM4, -0.008, 0.105, 0.992, -0.488, 0.000, 0.000, 6.070, 0.082, 0.000, 37.22,
 13:22:10.574,COM4, -0.009, 0.113, 0.993, -0.183, 0.244, 0.000, 6.509, 0.472, 0.000, 37.21,
 13:22:10.621,COM4, -0.002, 0.106, 0.989, 0.427, 0.000, 0.000, 6.509, 0.478, 0.000, 37.21,
 13:22:10.667,COM4, -0.005, 0.109, 0.991, 0.000, 0.000, 0.000, 6.498, 0.472, 0.000, 37.20,
 13:22:10.716,COM4, -0.009, 0.109, 0.979, -0.183, 0.305, 0.000, 6.498, 0.472, 0.000, 37.23,
 13:22:10.764,COM4, -0.011, 0.111, 0.991, 0.305, 0.183, 0.000, 6.504, 0.472, 0.000, 37.22,
 13:22:10.826,COM4, -0.003, 0.111, 0.993, -0.183, 0.244, 0.000, 6.476, 0.483, 0.000, 37.22,
 13:22:11.639,COM4, -0.009, 0.110, 0.983, -0.183, 0.244, 0.000, 6.465, 0.483, 0.000, 37.20,
 13:22:11.701,COM4, -0.010, 0.112, 0.997, -0.427, 0.244, 0.000, 6.422, 0.500, 0.000, 37.22,
 13:22:11.749,COM4, -0.011, 0.111, 0.989, -0.244, 0.427, 0.000, 6.394, 0.560, 0.000, 37.21,
 13:22:11.798,COM4, -0.005, 0.114, 0.993, 0.183, 0.366, 0.000, 6.531, 0.615, 0.000, 37.22,
 13:22:11.845,COM4, -0.010, 0.109, 0.995, -0.244, 0.244, 0.000, 6.273, 0.302, 0.000, 37.23,
 13:22:11.892,COM4, -0.004, 0.111, 0.991, 0.000, 0.000, 0.000, 6.411, 0.588, 0.000, 37.23,
 13:22:11.938,COM4, -0.006, 0.111, 0.987, 0.244, 0.000, 0.000, 6.432, 0.253, 0.000, 37.22,
 13:22:12.001,COM4, -0.008, 0.110, 0.994, -0.183, 0.183, 0.000, 6.306, 0.363, 0.000, 37.23,
 13:22:12.048,COM4, -0.004, 0.111, 0.988, -0.305, 0.000, 0.000, 6.400, 0.478, 0.000, 37.22,
 13:22:12.095,COM4, -0.006, 0.109, 0.986, 0.305, 0.000, 0.000, 6.295, 0.253, 0.000, 37.22,
 13:22:12.142,COM4, -0.001, 0.115, 0.997, 0.000, 0.000, 0.000, 6.295, 0.247, 0.000, 37.24,
 13:22:12.204,COM4, -0.003, 0.118, 0.991, -0.183, -0.183, 0.000, 6.295, 0.247, 0.000, 37.23,
 13:22:12.251,COM4, 0.000, 0.113, 0.990, 0.427, -0.183, 0.000, 6.317, 0.253, 0.000, 37.22,
